2023-06-12 10:55:22,144 [1] INFO SummaryLogger - Processing Index: wobo-customtag,40,6/12/2023 10:55:22 AM
2023-06-12 10:55:26,609 [1] INFO SummaryLogger - **Completed Replicating** wobo-customtag,40,6/12/2023 10:55:26 AM
2023-06-12 10:55:27,501 [1] INFO SummaryLogger - Processing Index: wobo-activity,2315938,6/12/2023 10:55:27 AM
2023-06-12 11:44:27,428 [1] INFO SummaryLogger - ** Starting Summary Process Counts 16 **
2023-06-12 11:45:01,740 [1] INFO SummaryLogger - Source Index Count: wobo-activity-comment,99141
2023-06-12 11:45:11,119 [1] INFO SummaryLogger - Target Index Count: wobo-activity-comment,99141
2023-06-12 11:45:11,268 [1] INFO SummaryLogger - Source Index Count: wobo-activity,2315947
2023-06-12 11:45:11,428 [1] INFO SummaryLogger - Target Index Count: wobo-activity,2315299
2023-06-12 11:45:11,540 [1] INFO SummaryLogger - Source Index Count: wobo-customtag,40
2023-06-12 11:45:11,660 [1] INFO SummaryLogger - Target Index Count: wobo-customtag,41
2023-06-12 11:45:11,770 [1] INFO SummaryLogger - Source Index Count: wobo-goal-comment,471276
2023-06-12 11:45:11,910 [1] INFO SummaryLogger - Target Index Count: wobo-goal-comment,474779
2023-06-12 11:45:12,012 [1] INFO SummaryLogger - Source Index Count: wobo-goal-prompt,21
2023-06-12 11:45:12,100 [1] INFO SummaryLogger - Target Index Count: wobo-goal-prompt,0
2023-06-12 11:45:12,232 [1] INFO SummaryLogger - Source Index Count: wobo-goal,543554
2023-06-12 11:45:12,357 [1] INFO SummaryLogger - Target Index Count: wobo-goal,583844
2023-06-12 11:45:12,471 [1] INFO SummaryLogger - Source Index Count: wobo-meeting-take,104133
2023-06-12 11:45:12,596 [1] INFO SummaryLogger - Target Index Count: wobo-meeting-take,104130
2023-06-12 11:45:12,810 [1] INFO SummaryLogger - Source Index Count: wobo-meeting-topic,466473
2023-06-12 11:45:12,917 [1] INFO SummaryLogger - Target Index Count: wobo-meeting-topic,466464
2023-06-12 11:45:13,030 [1] INFO SummaryLogger - Source Index Count: wobo-meeting,148509
2023-06-12 11:45:13,142 [1] INFO SummaryLogger - Target Index Count: wobo-meeting,148494
2023-06-12 11:45:13,267 [1] INFO SummaryLogger - Source Index Count: wobo-metric,1404211
2023-06-12 11:45:13,403 [1] INFO SummaryLogger - Target Index Count: wobo-metric,1429460
2023-06-12 11:45:13,522 [1] INFO SummaryLogger - Source Index Count: wobo-prompt-rules,9
2023-06-12 11:45:13,619 [1] INFO SummaryLogger - Target Index Count: wobo-prompt-rules,0
2023-06-12 11:45:13,746 [1] INFO SummaryLogger - Source Index Count: wobo-rbr,247307
2023-06-12 11:45:13,857 [1] INFO SummaryLogger - Target Index Count: wobo-rbr,247303
2023-06-12 11:45:13,967 [1] INFO SummaryLogger - Source Index Count: wobo-tags,5990
2023-06-12 11:45:14,088 [1] INFO SummaryLogger - Target Index Count: wobo-tags,5990
2023-06-12 11:45:14,202 [1] INFO SummaryLogger - Source Index Count: wobo-team,216371
2023-06-12 11:45:14,323 [1] INFO SummaryLogger - Target Index Count: wobo-team,216369
2023-06-12 11:45:14,434 [1] INFO SummaryLogger - Source Index Count: wobo-user,388513
2023-06-12 11:45:14,541 [1] INFO SummaryLogger - Target Index Count: wobo-user,388552
2023-06-12 11:45:14,660 [1] INFO SummaryLogger - Source Index Count: wobo-workstream,149238
2023-06-12 11:45:14,782 [1] INFO SummaryLogger - Target Index Count: wobo-workstream,149237
